Temperature,31.5,36,39,40,45,66.8,68,70,80,90,100,110,120,130,140,150,160,170,180,190,200,210,212
Resistance,27100,25000,24000,21000,17800,10200,9800,9100,7000,5600,4700,3800,3100,2700,2200,1860,1500,1420,1250,1100,970,860,850
